,ID_hecho,FECHA,AAAA,MM,DD,VICTIMA,SEXO,EDAD,GRAVEDAD,grupo_etario
0,2016-0001,2016-01-01,2016,1,1,MOTO,MASCULINO,19,Defuncion,18-30
1,2016-0002,2016-01-02,2016,1,2,AUTO,MASCULINO,70,Defuncion,+60
2,2016-0003,2016-01-03,2016,1,3,MOTO,MASCULINO,30,Defuncion,18-30
3,2016-0004,2016-01-10,2016,1,10,MOTO,MASCULINO,18,Defuncion,<18
4,2016-0005,2016-01-21,2016,1,21,MOTO,MASCULINO,29,Defuncion,18-30
5,2016-0008,2016-01-24,2016,1,24,MOTO,MASCULINO,30,Defuncion,18-30
6,2016-0009,2016-01-24,2016,1,24,MOTO,MASCULINO,29,Defuncion,18-30
7,2016-0010,2016-01-29,2016,1,29,MOTO,MASCULINO,18,Defuncion,<18
8,2016-0012,2016-02-08,2016,2,8,MOTO,MASCULINO,22,Defuncion,18-30
9,2016-0013,2016-02-10,2016,2,10,PEATON,MASCULINO,16,Defuncion,<18
10,2016-0015,2016-02-14,2016,2,14,PEATON,FEMENINO,16,Defuncion,<18
11,2016-0016,2016-02-14,2016,2,14,MOTO,FEMENINO,19,Defuncion,18-30
12,2016-0017,2016-02-15,2016,2,15,PEATON,MASCULINO,59,Defuncion,50-60
13,2016-0019,2016-02-17,2016,2,17,PEATON,FEMENINO,65,Defuncion,+60
14,2016-0020,2016-02-17,2016,2,17,PEATON,MASCULINO,59,Defuncion,50-60
15,2016-0021,2016-02-17,2016,2,17,AUTO,MASCULINO,34,Defuncion,30-50
16,2016-0022,2016-02-21,2016,2,21,MOTO,MASCULINO,41,Defuncion,30-50
17,2016-0025,2016-02-28,2016,2,28,AUTO,MASCULINO,34,Defuncion,30-50
18,2016-0026,2016-02-28,2016,2,28,AUTO,MASCULINO,30,Defuncion,18-30
19,2016-0027,2016-02-28,2016,2,28,AUTO,MASCULINO,34,Defuncion,30-50
20,2016-0028,2016-03-02,2016,3,2,PEATON,MASCULINO,50,Defuncion,30-50
21,2016-0029,2016-03-04,2016,3,4,PEATON,MASCULINO,38,Defuncion,30-50
22,2016-0031,2016-03-08,2016,3,8,MOTO,MASCULINO,21,Defuncion,18-30
23,2016-0034,2016-03-12,2016,3,12,PEATON,MASCULINO,52,Defuncion,50-60
24,2016-0035,2016-03-13,2016,3,13,MOTO,MASCULINO,34,Defuncion,30-50
25,2016-0036,2016-03-14,2016,3,14,MOTO,MASCULINO,36,Defuncion,30-50
26,2016-0037,2016-03-19,2016,3,19,MOTO,MASCULINO,20,Defuncion,18-30
27,2016-0038,2016-03-21,2016,3,21,PEATON,MASCULINO,29,Defuncion,18-30
28,2016-0039,2016-03-23,2016,3,23,MOTO,MASCULINO,20,Defuncion,18-30
29,2016-0041,2016-03-29,2016,3,29,MOTO,MASCULINO,54,Defuncion,50-60
30,2016-0041,2016-03-29,2016,3,29,MOTO,MASCULINO,,Defuncion,
31,2016-0043,2016-03-30,2016,3,30,PEATON,FEMENINO,56,Defuncion,50-60
32,2016-0044,2016-03-31,2016,3,31,MOTO,MASCULINO,24,Defuncion,18-30
33,2016-0045,2016-04-11,2016,4,11,MOTO,MASCULINO,,Defuncion,
34,2016-0047,2016-04-15,2016,4,15,PEATON,MASCULINO,41,Defuncion,30-50
35,2016-0048,2016-04-15,2016,4,15,PEATON,FEMENINO,,Defuncion,
36,2016-0049,2016-04-17,2016,4,17,,,,Defuncion,
37,2016-0050,2016-04-19,2016,4,19,PEATON,MASCULINO,78,Defuncion,+60
38,2016-0051,2016-04-20,2016,4,20,MOTO,MASCULINO,36,Defuncion,30-50
39,2016-0052,2016-04-20,2016,4,20,MOTO,,,Defuncion,
40,2016-0053,2016-04-22,2016,4,22,PEATON,MASCULINO,38,Defuncion,30-50
41,2016-0054,2016-04-23,2016,4,23,MOTO,MASCULINO,30,Defuncion,18-30
42,2016-0055,2016-04-25,2016,4,25,PEATON,MASCULINO,79,Defuncion,+60
43,2016-0056,2016-04-26,2016,4,26,MOTO,MASCULINO,26,Defuncion,18-30
44,2016-0058,2016-05-04,2016,5,4,PEATON,FEMENINO,57,Defuncion,50-60
45,2016-0059,2016-05-08,2016,5,8,PEATON,MASCULINO,37,Defuncion,30-50
46,2016-0064,2016-05-14,2016,5,14,PEATON,MASCULINO,20,Defuncion,18-30
47,2016-0065,2016-05-20,2016,5,20,PEATON,MASCULINO,20,Defuncion,18-30
48,2016-0067,2016-05-21,2016,5,21,MOTO,FEMENINO,30,Defuncion,18-30
49,2016-0068,2016-05-22,2016,5,22,MOTO,MASCULINO,58,Defuncion,50-60
50,2016-0069,2016-05-23,2016,5,23,AUTO,MASCULINO,30,Defuncion,18-30
51,2016-0073,2016-06-11,2016,6,11,MOTO,MASCULINO,23,Defuncion,18-30
52,2016-0074,2016-06-12,2016,6,12,AUTO,MASCULINO,60,Defuncion,50-60
53,2016-0075,2016-06-12,2016,6,12,PEATON,MASCULINO,42,Defuncion,30-50
54,2016-0076,2016-06-13,2016,6,13,PEATON,FEMENINO,53,Defuncion,50-60
55,2016-0077,2016-06-13,2016,6,13,PEATON,FEMENINO,,Defuncion,
56,2016-0078,2016-06-13,2016,6,13,MOTO,MASCULINO,30,Defuncion,18-30
57,2016-0079,2016-06-16,2016,6,16,AUTO,FEMENINO,51,Defuncion,50-60
58,2016-0080,2016-06-18,2016,6,18,AUTO,MASCULINO,60,Defuncion,50-60
59,2016-0081,2016-06-22,2016,6,22,MOTO,MASCULINO,40,Defuncion,30-50
60,2016-0082,2016-06-27,2016,6,27,PEATON,MASCULINO,87,Defuncion,+60
61,2016-0083,2016-06-28,2016,6,28,PEATON,FEMENINO,76,Defuncion,+60
62,2016-0084,2016-06-29,2016,6,29,PEATON,MASCULINO,57,Defuncion,50-60
63,2016-0085,2016-06-29,2016,6,29,MOTO,MASCULINO,,Defuncion,
64,2016-0086,2016-06-30,2016,6,30,PEATON,MASCULINO,75,Defuncion,+60
65,2016-0087,2016-07-03,2016,7,3,MOTO,MASCULINO,23,Defuncion,18-30
66,2016-0088,2016-07-11,2016,7,11,PEATON,FEMENINO,70,Defuncion,+60
67,2016-0089,2016-07-14,2016,7,14,PEATON,MASCULINO,35,Defuncion,30-50
68,2016-0090,2016-07-14,2016,7,14,PEATON,MASCULINO,60,Defuncion,50-60
69,2016-0092,2016-07-15,2016,7,15,MOTO,MASCULINO,24,Defuncion,18-30
70,2016-0093,2016-07-17,2016,7,17,AUTO,MASCULINO,35,Defuncion,30-50
71,2016-0095,2016-07-23,2016,7,23,MOTO,MASCULINO,29,Defuncion,18-30
72,2016-0096,2016-07-25,2016,7,25,MOTO,MASCULINO,,Defuncion,
73,2016-0097,2016-07-26,2016,7,26,PEATON,MASCULINO,80,Defuncion,+60
74,2016-0098,2016-07-27,2016,7,27,MOTO,FEMENINO,43,Defuncion,30-50
75,2016-0099,2016-07-29,2016,7,29,CARGAS,MASCULINO,45,Defuncion,30-50
76,2016-0100,2016-08-03,2016,8,3,MOTO,MASCULINO,57,Defuncion,50-60
77,2016-0101,2016-08-07,2016,8,7,,MASCULINO,67,Defuncion,+60
78,2016-0102,2016-08-10,2016,8,10,MOTO,MASCULINO,29,Defuncion,18-30
79,2016-0104,2016-08-14,2016,8,14,MOTO,MASCULINO,21,Defuncion,18-30
80,2016-0105,2016-08-17,2016,8,17,PEATON,MASCULINO,19,Defuncion,18-30
81,2016-0106,2016-08-19,2016,8,19,PEATON,MASCULINO,38,Defuncion,30-50
82,2016-0107,2016-08-20,2016,8,20,MOTO,MASCULINO,21,Defuncion,18-30
83,2016-0109,2016-08-24,2016,8,24,AUTO,FEMENINO,53,Defuncion,50-60
84,2016-0110,2016-08-24,2016,8,24,PEATON,MASCULINO,57,Defuncion,50-60
85,2016-0111,2016-08-25,2016,8,25,MOTO,MASCULINO,27,Defuncion,18-30
86,2016-0112,2016-08-27,2016,8,27,MOTO,MASCULINO,24,Defuncion,18-30
87,2016-0113,2016-08-27,2016,8,27,PEATON,FEMENINO,60,Defuncion,50-60
88,2016-0114,2016-08-31,2016,8,31,BICICLETA,FEMENINO,55,Defuncion,50-60
89,2016-0115,2016-09-02,2016,9,2,,MASCULINO,,Defuncion,
90,2016-0116,2016-09-02,2016,9,2,MOTO,MASCULINO,30,Defuncion,18-30
91,2016-0117,2016-09-03,2016,9,3,AUTO,MASCULINO,43,Defuncion,30-50
92,2016-0118,2016-09-04,2016,9,4,AUTO,MASCULINO,27,Defuncion,18-30
93,2016-0119,2016-09-04,2016,9,4,,FEMENINO,,Defuncion,
94,2016-0122,2016-09-13,2016,9,13,BICICLETA,MASCULINO,49,Defuncion,30-50
95,2016-0123,2016-09-14,2016,9,14,MOTO,FEMENINO,58,Defuncion,50-60
96,2016-0124,2016-09-16,2016,9,16,PEATON,MASCULINO,67,Defuncion,+60
97,2016-0125,2016-09-17,2016,9,17,MOTO,MASCULINO,30,Defuncion,18-30
98,2016-0126,2016-09-18,2016,9,18,AUTO,MASCULINO,37,Defuncion,30-50
99,2016-0126,2016-09-18,2016,9,18,AUTO,MASCULINO,60,Defuncion,50-60
100,2016-0127,2016-09-24,2016,9,24,PEATON,MASCULINO,50,Defuncion,30-50
101,2016-0128,2016-10-02,2016,10,2,PEATON,FEMENINO,81,Defuncion,+60
102,2016-0130,2016-10-04,2016,10,4,MOTO,MASCULINO,29,Defuncion,18-30
103,2016-0131,2016-10-09,2016,10,9,PEATON,MASCULINO,35,Defuncion,30-50
104,2016-0132,2016-10-10,2016,10,10,AUTO,MASCULINO,30,Defuncion,18-30
105,2016-0133,2016-10-14,2016,10,14,MOTO,MASCULINO,41,Defuncion,30-50
106,2016-0134,2016-10-23,2016,10,23,MOTO,MASCULINO,25,Defuncion,18-30
107,2016-0135,2016-10-24,2016,10,24,PEATON,MASCULINO,29,Defuncion,18-30
108,2016-0136,2016-10-25,2016,10,25,MOTO,,,Defuncion,
109,2016-0137,2016-10-25,2016,10,25,MOTO,MASCULINO,30,Defuncion,18-30
110,2016-0138,2016-10-27,2016,10,27,BICICLETA,FEMENINO,33,Defuncion,30-50
111,2016-0139,2016-10-28,2016,10,28,MOTO,FEMENINO,35,Defuncion,30-50
112,2016-0140,2016-10-31,2016,10,31,PASAJEROS,MASCULINO,20,Defuncion,18-30
113,2016-0142,2016-11-05,2016,11,5,MOTO,MASCULINO,46,Defuncion,30-50
114,2016-0143,2016-11-06,2016,11,6,MOTO,MASCULINO,35,Defuncion,30-50
115,2016-0144,2016-11-07,2016,11,7,PEATON,MASCULINO,83,Defuncion,+60
116,2016-0145,2016-11-07,2016,11,7,MOTO,MASCULINO,39,Defuncion,30-50
117,2016-0146,2016-11-09,2016,11,9,PEATON,FEMENINO,29,Defuncion,18-30
118,2016-0147,2016-11-16,2016,11,16,MOVIL,MASCULINO,55,Defuncion,50-60
119,2016-0148,2016-11-16,2016,11,16,MOTO,MASCULINO,,Defuncion,
120,2016-0150,2016-11-18,2016,11,18,CARGAS,MASCULINO,41,Defuncion,30-50
121,2016-0151,2016-11-18,2016,11,18,PEATON,,,Defuncion,
122,2016-0152,2016-11-23,2016,11,23,MOTO,MASCULINO,42,Defuncion,30-50
123,2016-0153,2016-11-25,2016,11,25,PEATON,FEMENINO,83,Defuncion,+60
124,2016-0154,2016-11-26,2016,11,26,MOTO,MASCULINO,38,Defuncion,30-50
125,2016-0155,2016-11-26,2016,11,26,PEATON,FEMENINO,29,Defuncion,18-30
126,2016-0156,2016-11-26,2016,11,26,MOTO,MASCULINO,23,Defuncion,18-30
127,2016-0157,2016-12-03,2016,12,3,MOTO,MASCULINO,23,Defuncion,18-30
128,2016-0159,2016-12-04,2016,12,4,AUTO,MASCULINO,23,Defuncion,18-30
129,2016-0160,2016-12-06,2016,12,6,CARGAS,MASCULINO,29,Defuncion,18-30
130,2016-0161,2016-12-06,2016,12,6,PEATON,MASCULINO,50,Defuncion,30-50
131,2016-0162,2016-12-07,2016,12,7,PEATON,MASCULINO,38,Defuncion,30-50
132,2016-0163,2016-12-10,2016,12,10,MOTO,MASCULINO,23,Defuncion,18-30
133,2016-0164,2016-12-11,2016,12,11,AUTO,MASCULINO,29,Defuncion,18-30
134,2016-0165,2016-12-12,2016,12,12,BICICLETA,MASCULINO,37,Defuncion,30-50
135,2016-0168,2016-12-13,2016,12,13,MOTO,MASCULINO,43,Defuncion,30-50
136,2016-0169,2016-12-15,2016,12,15,MOTO,MASCULINO,24,Defuncion,18-30
137,2016-0170,2016-12-19,2016,12,19,MOTO,MASCULINO,21,Defuncion,18-30
138,2016-0171,2016-12-25,2016,12,25,MOTO,,,Defuncion,
139,2016-0172,2016-12-26,2016,12,26,MOTO,MASCULINO,38,Defuncion,30-50
140,2016-0173,2016-12-26,2016,12,26,MOTO,MASCULINO,35,Defuncion,30-50
141,2016-0174,2016-12-27,2016,12,27,,,,Defuncion,
142,2016-0175,2016-12-27,2016,12,27,PEATON,FEMENINO,,Defuncion,
143,2016-0176,2016-12-28,2016,12,28,MOTO,MASCULINO,28,Defuncion,18-30
144,2016-0177,2016-12-29,2016,12,29,PEATON,FEMENINO,27,Defuncion,18-30
145,2016-0178,2016-12-30,2016,12,30,PEATON,FEMENINO,7,Defuncion,<18
146,2017-0001,2017-01-02,2017,1,2,MOTO,MASCULINO,18,Defuncion,<18
147,2017-0003,2017-01-05,2017,1,5,CARGAS,MASCULINO,33,Defuncion,30-50
148,2017-0007,2017-01-11,2017,1,11,PEATON,MASCULINO,48,Defuncion,30-50
149,2017-0008,2017-01-16,2017,1,16,MOTO,MASCULINO,29,Defuncion,18-30
150,2017-0009,2017-01-16,2017,1,16,MOTO,MASCULINO,36,Defuncion,30-50
151,2017-0010,2017-01-16,2017,1,16,MOTO,MASCULINO,23,Defuncion,18-30
152,2017-0011,2017-01-22,2017,1,22,MOTO,FEMENINO,29,Defuncion,18-30
153,2017-0012,2017-01-24,2017,1,24,MOTO,MASCULINO,30,Defuncion,18-30
154,2017-0013,2017-01-27,2017,1,27,PEATON,MASCULINO,4,Defuncion,<18
155,2017-0014,2017-01-28,2017,1,28,MOTO,FEMENINO,22,Defuncion,18-30
156,2017-0015,2017-02-02,2017,2,2,PEATON,MASCULINO,82,Defuncion,+60
157,2017-0016,2017-02-03,2017,2,3,MOTO,MASCULINO,27,Defuncion,18-30
158,2017-0017,2017-02-06,2017,2,6,MOTO,MASCULINO,32,Defuncion,30-50
159,2017-0018,2017-02-09,2017,2,9,MOTO,MASCULINO,30,Defuncion,18-30
160,2017-0021,2017-02-18,2017,2,18,MOTO,MASCULINO,43,Defuncion,30-50
161,2017-0024,2017-02-23,2017,2,23,PEATON,MASCULINO,39,Defuncion,30-50
162,2017-0025,2017-02-24,2017,2,24,MOTO,MASCULINO,23,Defuncion,18-30
163,2017-0026,2017-02-26,2017,2,26,AUTO,FEMENINO,23,Defuncion,18-30
164,2017-0026,2017-02-26,2017,2,26,AUTO,MASCULINO,19,Defuncion,18-30
165,2017-0027,2017-02-26,2017,2,26,PEATON,MASCULINO,,Defuncion,
166,2017-0028,2017-02-28,2017,2,28,PEATON,MASCULINO,87,Defuncion,+60
167,2017-0029,2017-03-07,2017,3,7,,MASCULINO,34,Defuncion,30-50
168,2017-0030,2017-03-07,2017,3,7,AUTO,FEMENINO,27,Defuncion,18-30
169,2017-0031,2017-03-11,2017,3,11,AUTO,MASCULINO,70,Defuncion,+60
170,2017-0032,2017-03-12,2017,3,12,AUTO,FEMENINO,40,Defuncion,30-50
171,2017-0033,2017-03-12,2017,3,12,AUTO,MASCULINO,28,Defuncion,18-30
172,2017-0034,2017-03-13,2017,3,13,PEATON,MASCULINO,43,Defuncion,30-50
173,2017-0035,2017-03-23,2017,3,23,AUTO,MASCULINO,28,Defuncion,18-30
174,2017-0035,2017-03-23,2017,3,23,AUTO,MASCULINO,32,Defuncion,30-50
175,2017-0035,2017-03-23,2017,3,23,AUTO,MASCULINO,30,Defuncion,18-30
176,2017-0036,2017-03-29,2017,3,29,MOTO,FEMENINO,,Defuncion,
177,2017-0036,2017-03-29,2017,3,29,MOTO,MASCULINO,20,Defuncion,18-30
178,2017-0037,2017-03-31,2017,3,31,MOTO,MASCULINO,41,Defuncion,30-50
179,2017-0038,2017-04-01,2017,4,1,MOTO,FEMENINO,40,Defuncion,30-50
180,2017-0040,2017-04-03,2017,4,3,AUTO,MASCULINO,43,Defuncion,30-50
181,2017-0041,2017-04-03,2017,4,3,MOTO,MASCULINO,17,Defuncion,<18
182,2017-0042,2017-04-10,2017,4,10,MOTO,MASCULINO,,Defuncion,
183,2017-0045,2017-04-14,2017,4,14,MOTO,MASCULINO,21,Defuncion,18-30
184,2017-0047,2017-04-23,2017,4,23,MOTO,MASCULINO,37,Defuncion,30-50
185,2017-0049,2017-04-27,2017,4,27,PEATON,MASCULINO,22,Defuncion,18-30
186,2017-0050,2017-04-28,2017,4,28,MOTO,MASCULINO,46,Defuncion,30-50
187,2017-0050,2017-04-28,2017,4,28,MOTO,MASCULINO,16,Defuncion,<18
188,2017-0051,2017-05-01,2017,5,1,AUTO,MASCULINO,33,Defuncion,30-50
189,2017-0052,2017-05-05,2017,5,5,PEATON,FEMENINO,47,Defuncion,30-50
190,2017-0053,2017-05-05,2017,5,5,MOTO,MASCULINO,28,Defuncion,18-30
191,2017-0054,2017-05-07,2017,5,7,MOTO,FEMENINO,20,Defuncion,18-30
192,2017-0055,2017-05-09,2017,5,9,AUTO,MASCULINO,32,Defuncion,30-50
193,2017-0058,2017-05-09,2017,5,9,PEATON,MASCULINO,80,Defuncion,+60
194,2017-0059,2017-05-11,2017,5,11,PEATON,FEMENINO,39,Defuncion,30-50
195,2017-0060,2017-05-13,2017,5,13,MOTO,MASCULINO,30,Defuncion,18-30
196,2017-0061,2017-05-15,2017,5,15,PEATON,MASCULINO,47,Defuncion,30-50
197,2017-0062,2017-05-15,2017,5,15,MOTO,MASCULINO,35,Defuncion,30-50
198,2017-0063,2017-05-17,2017,5,17,PEATON,FEMENINO,79,Defuncion,+60
199,2017-0064,2017-05-20,2017,5,20,CARGAS,MASCULINO,61,Defuncion,+60
200,2017-0065,2017-05-22,2017,5,22,BICICLETA,MASCULINO,21,Defuncion,18-30
201,2017-0066,2017-05-22,2017,5,22,PEATON,MASCULINO,10,Defuncion,<18
202,2017-0067,2017-05-23,2017,5,23,MOTO,MASCULINO,21,Defuncion,18-30
203,2017-0068,2017-05-27,2017,5,27,MOTO,MASCULINO,32,Defuncion,30-50
204,2017-0069,2017-05-29,2017,5,29,MOTO,MASCULINO,39,Defuncion,30-50
205,2017-0070,2017-05-30,2017,5,30,PEATON,MASCULINO,80,Defuncion,+60
206,2017-0072,2017-06-03,2017,6,3,AUTO,MASCULINO,25,Defuncion,18-30
207,2017-0073,2017-06-04,2017,6,4,MOTO,MASCULINO,19,Defuncion,18-30
208,2017-0074,2017-06-04,2017,6,4,,MASCULINO,70,Defuncion,+60
209,2017-0075,2017-06-12,2017,6,12,PEATON,MASCULINO,55,Defuncion,50-60
210,2017-0076,2017-06-13,2017,6,13,PEATON,FEMENINO,30,Defuncion,18-30
211,2017-0077,2017-06-17,2017,6,17,MOTO,FEMENINO,60,Defuncion,50-60
212,2017-0079,2017-06-19,2017,6,19,MOTO,MASCULINO,33,Defuncion,30-50
213,2017-0080,2017-06-22,2017,6,22,PEATON,FEMENINO,95,Defuncion,+60
214,2017-0082,2017-06-25,2017,6,25,PEATON,MASCULINO,36,Defuncion,30-50
215,2017-0083,2017-07-04,2017,7,4,MOTO,MASCULINO,37,Defuncion,30-50
216,2017-0084,2017-07-05,2017,7,5,PEATON,FEMENINO,73,Defuncion,+60
217,2017-0085,2017-07-07,2017,7,7,PEATON,MASCULINO,84,Defuncion,+60
218,2017-0086,2017-07-09,2017,7,9,PEATON,FEMENINO,30,Defuncion,18-30
219,2017-0087,2017-07-10,2017,7,10,PEATON,FEMENINO,73,Defuncion,+60
220,2017-0088,2017-07-10,2017,7,10,PEATON,MASCULINO,43,Defuncion,30-50
221,2017-0089,2017-07-13,2017,7,13,,MASCULINO,23,Defuncion,18-30
222,2017-0090,2017-07-15,2017,7,15,PEATON,MASCULINO,22,Defuncion,18-30
223,2017-0091,2017-07-15,2017,7,15,MOTO,MASCULINO,58,Defuncion,50-60
224,2017-0092,2017-07-24,2017,7,24,PEATON,MASCULINO,66,Defuncion,+60
225,2017-0093,2017-07-25,2017,7,25,PEATON,MASCULINO,,Defuncion,
226,2017-0094,2017-07-27,2017,7,27,BICICLETA,FEMENINO,56,Defuncion,50-60
227,2017-0095,2017-08-06,2017,8,6,MOTO,MASCULINO,36,Defuncion,30-50
228,2017-0096,2017-08-07,2017,8,7,PEATON,MASCULINO,87,Defuncion,+60
229,2017-0098,2017-08-08,2017,8,8,PEATON,FEMENINO,61,Defuncion,+60
230,2017-0099,2017-08-17,2017,8,17,BICICLETA,MASCULINO,28,Defuncion,18-30
231,2017-0100,2017-08-21,2017,8,21,MOTO,FEMENINO,16,Defuncion,<18
232,2017-0101,2017-08-23,2017,8,23,PEATON,FEMENINO,61,Defuncion,+60
233,2017-0102,2017-08-24,2017,8,24,PEATON,MASCULINO,46,Defuncion,30-50
234,2017-0104,2017-08-25,2017,8,25,PEATON,FEMENINO,18,Defuncion,<18
235,2017-0106,2017-08-31,2017,8,31,PEATON,FEMENINO,85,Defuncion,+60
236,2017-0107,2017-09-01,2017,9,1,MOTO,MASCULINO,41,Defuncion,30-50
237,2017-0108,2017-09-02,2017,9,2,AUTO,MASCULINO,17,Defuncion,<18
238,2017-0108,2017-09-02,2017,9,2,AUTO,MASCULINO,10,Defuncion,<18
239,2017-0109,2017-09-04,2017,9,4,MOTO,MASCULINO,21,Defuncion,18-30
240,2017-0110,2017-09-06,2017,9,6,PEATON,MASCULINO,56,Defuncion,50-60
241,2017-0111,2017-09-07,2017,9,7,PEATON,FEMENINO,79,Defuncion,+60
242,2017-0112,2017-09-10,2017,9,10,AUTO,MASCULINO,1,Defuncion,<18
243,2017-0112,2017-09-10,2017,9,10,AUTO,MASCULINO,,Defuncion,
244,2017-0113,2017-09-11,2017,9,11,PEATON,FEMENINO,76,Defuncion,+60
245,2017-0114,2017-09-15,2017,9,15,AUTO,MASCULINO,26,Defuncion,18-30
246,2017-0115,2017-09-19,2017,9,19,MOTO,MASCULINO,34,Defuncion,30-50
247,2017-0116,2017-09-20,2017,9,20,MOTO,MASCULINO,22,Defuncion,18-30
248,2017-0118,2017-09-22,2017,9,22,MOTO,FEMENINO,26,Defuncion,18-30
249,2017-0120,2017-10-02,2017,10,2,MOTO,MASCULINO,20,Defuncion,18-30
250,2017-0123,2017-10-10,2017,10,10,PEATON,FEMENINO,36,Defuncion,30-50
251,2017-0124,2017-10-12,2017,10,12,MOTO,MASCULINO,51,Defuncion,50-60
252,2017-0125,2017-10-13,2017,10,13,MOTO,MASCULINO,29,Defuncion,18-30
253,2017-0126,2017-10-14,2017,10,14,AUTO,MASCULINO,39,Defuncion,30-50
254,2017-0126,2017-10-14,2017,10,14,AUTO,MASCULINO,36,Defuncion,30-50
255,2017-0127,2017-10-16,2017,10,16,MOTO,MASCULINO,24,Defuncion,18-30
256,2017-0128,2017-10-17,2017,10,17,PEATON,FEMENINO,60,Defuncion,50-60
257,2017-0129,2017-10-26,2017,10,26,MOTO,MASCULINO,57,Defuncion,50-60
258,2017-0130,2017-10-27,2017,10,27,AUTO,MASCULINO,23,Defuncion,18-30
259,2017-0132,2017-10-30,2017,10,30,MOTO,MASCULINO,23,Defuncion,18-30
260,2017-0134,2017-11-06,2017,11,6,PEATON,FEMENINO,47,Defuncion,30-50
261,2017-0135,2017-11-07,2017,11,7,MOTO,MASCULINO,24,Defuncion,18-30
262,2017-0136,2017-11-16,2017,11,16,PEATON,MASCULINO,55,Defuncion,50-60
263,2017-0137,2017-11-17,2017,11,17,PEATON,FEMENINO,60,Defuncion,50-60
264,2017-0138,2017-11-19,2017,11,19,MOTO,MASCULINO,25,Defuncion,18-30
265,2017-0139,2017-11-19,2017,11,19,AUTO,FEMENINO,15,Defuncion,<18
266,2017-0140,2017-11-19,2017,11,19,MOTO,MASCULINO,24,Defuncion,18-30
267,2017-0141,2017-11-23,2017,11,23,PEATON,FEMENINO,22,Defuncion,18-30
268,2017-0143,2017-11-25,2017,11,25,AUTO,MASCULINO,50,Defuncion,30-50
269,2017-0144,2017-11-26,2017,11,26,AUTO,FEMENINO,50,Defuncion,30-50
270,2017-0145,2017-11-26,2017,11,26,MOTO,MASCULINO,58,Defuncion,50-60
271,2017-0147,2017-11-28,2017,11,28,MOTO,MASCULINO,49,Defuncion,30-50
272,2017-0148,2017-11-29,2017,11,29,PEATON,FEMENINO,82,Defuncion,+60
273,2017-0149,2017-11-30,2017,11,30,PEATON,MASCULINO,13,Defuncion,<18
274,2017-0150,2017-12-04,2017,12,4,PEATON,MASCULINO,56,Defuncion,50-60
275,2017-0151,2017-12-04,2017,12,4,PEATON,MASCULINO,,Defuncion,
276,2017-0152,2017-12-06,2017,12,6,BICICLETA,MASCULINO,19,Defuncion,18-30
277,2017-0153,2017-12-11,2017,12,11,MOTO,MASCULINO,,Defuncion,
278,2017-0153,2017-12-11,2017,12,11,MOTO,MASCULINO,30,Defuncion,18-30
279,2017-0154,2017-12-11,2017,12,11,PEATON,MASCULINO,76,Defuncion,+60
280,2017-0155,2017-12-12,2017,12,12,,MASCULINO,77,Defuncion,+60
281,2017-0157,2017-12-17,2017,12,17,AUTO,MASCULINO,53,Defuncion,50-60
282,2017-0158,2017-12-18,2017,12,18,MOTO,MASCULINO,32,Defuncion,30-50
283,2017-0159,2017-12-20,2017,12,20,MOTO,MASCULINO,27,Defuncion,18-30
284,2017-0160,2017-12-22,2017,12,22,PEATON,FEMENINO,30,Defuncion,18-30
285,2017-0161,2017-12-26,2017,12,26,PEATON,FEMENINO,30,Defuncion,18-30
286,2018-0001,2018-01-01,2018,1,1,PEATON,MASCULINO,83,Defuncion,+60
287,2018-0002,2018-01-03,2018,1,3,BICICLETA,FEMENINO,26,Defuncion,18-30
288,2018-0003,2018-01-05,2018,1,5,PEATON,FEMENINO,58,Defuncion,50-60
289,2018-0004,2018-01-09,2018,1,9,MOTO,MASCULINO,39,Defuncion,30-50
290,2018-0005,2018-01-09,2018,1,9,PEATON,MASCULINO,54,Defuncion,50-60
291,2018-0006,2018-01-10,2018,1,10,BICICLETA,FEMENINO,45,Defuncion,30-50
292,2018-0007,2018-01-11,2018,1,11,AUTO,MASCULINO,46,Defuncion,30-50
293,2018-0008,2018-01-12,2018,1,12,MOTO,FEMENINO,32,Defuncion,30-50
294,2018-0009,2018-01-14,2018,1,14,MOTO,MASCULINO,19,Defuncion,18-30
295,2018-0010,2018-01-18,2018,1,18,MOTO,MASCULINO,40,Defuncion,30-50
296,2018-0011,2018-01-19,2018,1,19,PEATON,MASCULINO,84,Defuncion,+60
297,2018-0012,2018-01-26,2018,1,26,MOTO,MASCULINO,20,Defuncion,18-30
298,2018-0013,2018-01-28,2018,1,28,MOTO,MASCULINO,44,Defuncion,30-50
299,2018-0014,2018-01-31,2018,1,31,PEATON,MASCULINO,,Defuncion,
300,2018-0015,2018-02-06,2018,2,6,MOTO,MASCULINO,28,Defuncion,18-30
301,2018-0015,2018-02-06,2018,2,6,MOTO,MASCULINO,19,Defuncion,18-30
302,2018-0016,2018-02-15,2018,2,15,MOTO,MASCULINO,31,Defuncion,30-50
303,2018-0017,2018-02-17,2018,2,17,PEATON,MASCULINO,35,Defuncion,30-50
304,2018-0018,2018-02-17,2018,2,17,MOTO,MASCULINO,26,Defuncion,18-30
305,2018-0019,2018-02-17,2018,2,17,PEATON,FEMENINO,80,Defuncion,+60
306,2018-0020,2018-02-19,2018,2,19,MOTO,MASCULINO,26,Defuncion,18-30
